step,type,amount,nameOrig,nameDest,isFraud
1,TRANSFER,10000.00,C001,C002,0
1,TRANSFER,10000.00,C002,C003,0
2,TRANSFER,9800.00,C003,C001,1
2,TRANSFER,500.00,C001,C002,0
3,PAYMENT,200.00,C004,C005,0
3,PAYMENT,150.00,C004,C005,0
4,TRANSFER,3000.00,C006,C007,0
4,TRANSFER,2950.00,C007,C008,0
5,TRANSFER,2900.00,C008,C006,1
6,CASH_OUT,1200.00,C009,C010,0
7,CASH_IN,5000.00,EXTERNAL,C001,0
8,DEBIT,300.00,C004,C003,0
9,TRANSFER,8000.00,C011,C012,0
10,TRANSFER,7800.00,C012,C013,0
11,TRANSFER,7600.00,C013,C014,0
12,TRANSFER,7400.00,C014,C011,1
